"Table 1: Affordability ratios in England and Wales, 2024 "


,"Median House
price (12 months
to Sep 2024)",Median Earnings,"2024
Affordability
Ratio","Change in ratio
from 2023"
England,"£290,000","£37,600",7.7,"Decrease from 8.4,
significant"
Wales,"£201,000","£34,300",5.9,"Decrease from 6.2,
not significant"

Source: ,House Price Statistics for Small Areas and Annual Survey of Hours and Earnings from the Office for National Statistics  
